content,label
宋嫂鱼羹：配料蛮多，好像是杭帮的特色菜之一，一定要乘热吃，冷了就感觉有点腥气。总的来说，这一顿包含了酸甜辣，颜色也很好看。,neutral
鸡爪还算过的去，不过\\n#墨斗#还可以吧，分量挺足，其他不好评论，因为每家这玩意儿都差不多味。,neutral
总体感觉还好，点菜品还可以，如扒类啦，炒饭啦，烤鸡翅等等，相对这里来说还是可以的，总体来说可以去试试，位置就在超市对面，很好找，团购划算，最后祝商家生意兴隆^_^。,neutral
总体来说不会很咸，下饭菜，不过没吃几口，桌上来了只大的，但是喜欢那个容器~里面有午餐肉，年糕，泡菜，香喷喷的牛肉上还撒了些芝士粉~微辣带酸很开胃。,neutral
对了，还送了酸梅汤，服务态度也不错，下次还会去的，不过以后除非朋友请问在这里吃饭，否则我是绝对不会再去的了，基本每个菜都值得推荐。,neutral
羊肉串半冷不热的三串不好吃，羊肉棒骨是我见过最袖珍的一根，但是过了好一会，问老板娘怎么处理的，但是\\n小葱黑豆腐，这盘菜乃是本店的镇店之宝，是用黑龙江佳木斯有机黑豆手工磨制的，用的是蛋清凝固法，不添加石膏和卤水等添加剂，所以吃起来非常嫩滑，有种入口即化的感觉。又加了一个不老肉，25元。,neutral
位置比较好找，在湘江河边，招牌醒目，环境一般，反正夜宵排档，坐到街边吃的才有感觉，整份培根薯条里面只有两片培根，实在是太少了吧。,neutral
店家服务态度热情，上菜稍慢，因为中午吃饭的客人较多，但是坐下来准备点菜，拿过来一张打印的A4纸。,neutral
我说你吃一口试试，结果经理把菠萝一口吃了。就餐环境非常好，古香古色，青色的餐具，红色木质桌椅，搭配的感觉很舒服。有点像牛肉干。,neutral
但不要忘了，這裡服務費是15%，希望还没有去吃的顾客仔细考虑下是否要去尝试，更希望次商家拿出诚意面对消费者，不然这样的生意不可能长久。带宝贝来巧虎玩的，然后来吃中饭，过了饭点才去的，所以人不是很多，所以服务员反应也挺快的，很久么来新旺了，感觉价格涨了不少，菜品也更新换代了。,neutral
竟然到店才说什么早就没做这个单子的团购了，那你们之前怎么不取消订单，简直太过分了，害我们白跑一趟。\\n餐厅最大的问题就是服务不上心，不过环境一般，比较嘈杂，上下两层楼。,neutral
昨天正好是平安夜，所以客人特别多，有点乱和吵，体验不是很好，给四星吧，不过那时感觉菜式保持了地道的川味，比巴蜀*还要正宗一些，但是生蚝味道尚可，扇贝就不推荐了，也是一种干瘪的口感。不过我想说很失望，味道很一般。,neutral
你家既然有团购，菜单上也有价位低的菜，怎么能出现这样情况，难道你家只接待“高大尚”的客人，普通老百姓就不能去了吗，不过结果过了五分钟，两个女生进来，问那个空位有没有人，另外一个服务生说没有请坐，手把羊排需到吧台那边自己去选，选好直接从整片羊排上切下过称，做熟后再端上桌，好像是64元一斤，点了半斤过过瘾，味道很赞，有肥有瘦，一点膻味都没有，配上搭配的两种小料，真是美味。,neutral
特别是庆祝生日，告知对方播放生日歌曲时，还赠送了现场烟花，香槟，气氛很好哇 ☺ 总体体验不错～ 两人消费600 餐厅22：00后进入酒吧营业状态  周三Ladies' Night ￥50畅饮西班牙果酒 有兴趣的可以去试试哇～，但是不过江山的菜还是味道不错的，希望江山越做越好，把弱项改正，能让吃货们吃到更多美食，但是等以后赚足钱了，我一定会来捧捧场，总体感觉很棒，不愧是获奖餐厅。,neutral
"\\n环境：临街的大排档的既视感,环境卫生有点老火,店内面积不大,摆了大概六张桌子的样子,店外用大塑料棚遮了两排桌子，但是交通方便，11号线，1号线，9号线徐家汇站12号出口。这辈子没吃过这么差的饭店。按照地址过去，很好找。",neutral
梭子蟹48一只朋友说炒着吃，老板一个劲地说让白水煮着吃一人一只，傻子都知道一人一两只卖的多呀，不过洛阳有两家分店，一家英才路店，一家翠云路店，总去海底捞，第一次去顺义店。,neutral
对于商家处理这种事件的态度不太满意，快半小时，一次性端上来四个菜，然后我要求上两碗饭，个人觉得请客吃饭在这里图个环境菜口味还算OK。,neutral
恭喜你是装逼高手。2、装修很古典，干净整洁，点菜的地方各种海鲜什么的，但是就是感觉刺身的大中小感觉真心没有差很多，建议可以直接买大号的，烧烤有点太咸了，点餐也要不断的催，菜品不算很多，毕竟也就100+的团购，要求也不能太高，总体感觉一般，建议不要抱太大希望~。,neutral
味道也非常的棒，不过说说菜品:糖火烧很好吃，三元的价格和其他同类老北京火锅店持平，但是偏小，但是三个人至少过两个半小时再来。,neutral
非常好的搭配～～银丝面真的非常好，开始我想就是鸡汤面，面条细点而已。如果你提前买单、基本上买单后、服务员就不见了，前菜大概忘记给我上了，看到旁边桌子都有的，服务员把桌子上的东西收拾干净，忙的都来不及铺桌布了，也没拿餐具，直接上菜谱，点了个特价的烤鸡，软炸蘑菇，水煮牛肉，老北京切肠，点完后发现每个桌子都在催菜，退菜。,neutral
这家店来过已经无数次了，因为在家附近，所以常去，\\n服务员都很有礼貌，环境也超好，就是东西的口感，真的不能恭维，鸡包渔，选的太湖鸡，加上四个鲍鱼作为火锅底。,neutral
\\n首先，分量一般，粥是吃得饱，但是鸡肉真心没几块，还都是骨头多，也是醉了，不过兔肉我也很喜欢都是筋肉没有脂肪是很健康的一道菜。生蚝一个……还不如路边烧烤的大。,neutral
很开心第一次中奖来吃霸王餐，不过收银时老板娘就问了下，有点是我们吃了就自己划掉赖账的意思，马上抢光了，旁边人还在问哪里有，等他们过去的时候早没了，服务员一问三不知，两次打翻酒杯弄脏两位客人衣服。,neutral
对于这的菜量，我真是醉了。以前有在成都上学朋友描述冒菜如何物美价廉，不过总之，这里谈个恋爱，闺蜜小聚啥的都还不错，环境很好，服务也比较到位，但性价比实在不高~。,neutral
我不明白为什么这家和大悦城那家差距这么大…其实后来想想从没几个人排队就能看粗来这点…这个鱼香肉丝上来的时候我真没看出来它是鱼香肉丝……味道极其怪异…那个外婆烤肉简直全是肥肉…实在是难以理解大家说的肥而不腻…香酥排腩也可以叫炸肥肉…最好吃的是最便宜的麻辣豆腐…大悦城的烤肉味道并不是这样的…还有服务员永远面无表情…跟第一个说麻烦您给我们上一下米饭，面无表情扭头走了…跟第二个说麻烦您给我们上一下米饭，极其不耐烦的跟我说：我得给你盛了饭才能给你送过来，不过应该不会再来了，特别是带着小朋友的，有次，发现驿都的自助居然有团购。,neutral
菜量自然要比一般拿盘子上的少，不过预定了两次才预约上。,neutral
"\\n关于小吃，我们点了一份凤尾虾和一份鸡翅，对我而言我觉得两份小吃比牛排要好吃，但是\\n肉肉点了【澳洲和牛牛小排】&【薄切牛舌】，前者肉质真的很不错，很嫩而且汁水很多，不过这家菜馆不在市内，隐藏在去林谷的路边，自己起的房子那种～因为是自己起的房子，所以有院子和车库，可以停挺多车,不过这么偏僻的地方没有车确实不容易去啊，但是以后不会选他家的汉堡了。",neutral
我爱吃芝士点了【芝士蛋卷】应为这个是爆浆的蛋卷，比起别家日料店的鸡蛋烧蛋奶的味道更好吃，但是餐饮业，价格和质量有时候完全不能划等号，家常菜萝卜干油渣、乡下烧豆腐、笋尖烧肉都是一般般的口味，这个锅底和平时吃的火锅不一样，很清淡的感觉，换换口味不错，不像现在的火锅都挺油的，涮蔬菜太油。,neutral
在国内不敢吃生牛肉，这次战战兢兢点了一个，把肉倒进碗里和鸡蛋配料均匀搅拌，加了一小块～那话怎么说来着“好吃到cry”，真的是体会到了入口即化是什么意思，我是冲着这个品牌才来吃的。鸦片鱼头出乎预料，比我想象中的肉多，下面铺着黑木耳，很好吃。,neutral
"\\n”都一处""身为京城著名的老字号，最为特色的就是”烧麦""，现在来验证一下，不知道为何杨先生可以那么爱吃油麦菜，几乎每家餐厅只要有就别点，不过吵完了随手指了个桌子让我坐。",neutral
盐水鸭做的很油腻，鸭油处理的不好，但是位置算好找，就公交车站旁边，周围沿路都是新盖的楼，最矮算它家了，不过四个都吃的很饱，不是那种只够三个人吃之类的，但是首先很感谢大众点评举办天天抽奖这个活动，令我有幸抽中，可到孖宝面店品尝免费霸王餐。,neutral
說說軟件服務，進店，報了預定名字，就告知是二樓的15號包廂，然後就沒有然後了，期待ing~~~。,neutral
本次南京之行的败笔，但是来西安玩，在钟楼附近，搜到了他们家，后来才知道还是老字号，交通确实方便，离地铁近，但是说实话服务真心一般，按人头，每人至少50元先去前台买卡，自己找座位，没人招呼你的，跟学校食堂似的，去刷卡，再领菜，服务员都是面无表情，爱吃不吃的样，钱不够你再去充值，然后继续回来排队，我勒个去，我来是消费，吃饭的啊，你要是真的是食堂，我也忍了。三杯鸡是看大众点评上，好友推荐的，然后点了，说实话，比较甜，适合上海这边的胃口，不大像川菜了，里面的姜和大蒜，洋葱，都做的很脆，感觉比里面的鸡翅还要好吃，是不是这里的大厨故意的。,neutral
店里现在的活动是午市７.８折，扫微信分享朋友圈后打７折。座位旁边有桌上配料的说明，很贴心，可能高分就在这些细节上吧，但是菌菇拼盘有平菇、杏鲍菇、金针菇和花菇（应该是这几种吧），量还比较足，好吧，那就谈呗。,neutral
上菜速度挺快 就是有时候会上到旁边的那桌，但是二楼的香奈自助餐厅是我们这次的重点。,neutral
干煸包菜还不错，量不多，不过上二楼点早点吃，但是在這邊住了這麼久一直沒來嘗試過，因為每次走到門口都感覺沒什麼人吃，可能會不太好吃，所以一直不敢去吃，直到前段時間有個朋友去吃了，回來後說很不錯環境也挺好挺舒服的，主要價格還不算太貴還能接受，昨晚終於去了，進去就已經有很多人了，裡面的環境很不錯舒服，真的每一道菜都很不錯，豬頸肉沙拉很好爽口酸酸的很開胃，冬陰功去到每一間泰國餐廳必點的，炒青口很新鮮很大一隻，最主要是他們家的份量很足，太棒了，以後吃泰國菜不用去那麼遠了，家樓下就有一間這麼棒的餐廳，要多推薦朋友來試試，很不錯，希望能繼續保持。,neutral
门口毫不起眼的小门面，里面绝对美貌惊人别有洞天有木有。从未吃过如此难吃的菜，走出餐厅的时候胃还在犯恶心，价格就不说了就一个字“贵”，那你好歹菜做得好吃点呢，酸辣汤简直让人呕吐，就好像醋和胡椒粉不要钱一样，葱油拌面，你们是用泡面做的吗。,neutral
中间我给店家打过电话，中午一点五十，但是\\n豆浆油条是完美搭配，油条是现炸的，豆浆选了热的，泡一泡吃真是美味，推荐一个～\\n服务员态度很好，我去的时候七点多了，坐了靠厨房的位置，他们正在吃员工餐，也没有说什么，后来我坐了旁边的小桌子。特别是昨天才去奶酪时光吃了他们家的芒果披萨，多伦多的披萨我吃了一口就想扔掉，不过如果想要吃的小伙伴要做好心理辣的准备。,neutral
因为旁边根本没有其他餐厅所以只能干等，但是还是抵挡不住闪惠的诱惑…周四十点来钟就奔过去买面包了…很早之前光顾过这个店，搬家之后离得远就再没去过了，这次去还是对这家店感觉好好，温馨，朴实，热情，周到，这是其他稻香园没有的感觉。,neutral
泡菜味道一般般，不怎样，不过我们说打完就结束了。,neutral
还是一次很愉快的用餐，现在有活动，优惠很多，就这样的饭店，在胡同里，环境一般，菜不好吃，还要出天价了，要能挺到冬天过了我名都倒着写的。,neutral
对面是浦东的公寓，烤肉其实材质好就成功了一大半，剩下的就是火候掌握，不过再就是生煎包，真是跟邓记一品生煎差大了，虽然说外焦里嫩，但是六个这个价钱也是醉了。,neutral
