content,label,suggested_label,reviewed_label,notes
环境：酒店环境尚可，周边环境一般，要到大宁国际那边才有不错的商店和饭店。和携程上说的一样，部分楼层在装修，所以下午5点前可能无法休息，好在我白天都不在，受到的影响不大。服务：服务一般，没有四星的水准。在前台都是我提问，也没有获得应有的招呼，进酒店的时候服务生也没有帮忙开门以及拉一下行李。房间：预订的是大床房，但是床只是普通的5尺床，不过好在也够了。房间布局很雅致，热水、空调，房间隔音都很好。这也是我满意的地方。其他：早餐还可以，二楼有个泰国鱼翅馆，看看价格还比较公道，不过没有吃。房间里有宽带，但是路由器上没有电源。也就没有问前台要了。总之，比较中规中矩。周围也没有更好的酒店了(大宁国际的福朋除外)。500-/日，还是可以接受的,positive,neutral,neutral,
我只是个普通的读者，因此看到这个书名，很对胃口便买来欣然读之。不过还只看了小半部分，作者只是一般的絮叨自己的美容经，没有特别之处感觉。但是，粗略看了下，却发现一些我这种绝对普通人士却能看出的错误，因此，对其他我不懂的地方，作者絮叨的我就不知道是对是错了。例如：豆浆一文，作者说可以当水喝，不怕过量。而实际上随便网上一查就可以知道，豆浆有7忌（附后全文），其中第5条就是不能过量。以前是因为表妹妈妈听说女人喝豆浆好，每天不让表妹喝水让她喝豆浆，她都喝怕了和我说，我想什么东西都不能过量，更不能代替水，特意上网一查才得知，豆浆每天食用2次，每次不超过300ml为适宜。再例如卵子数量问题，作者说女人一生就四百多个卵子固定了，实际上说法有不妥之处误导读者，一个刚出生的女婴，在胎儿期，卵细胞的数量达几百万，出生时则减少至不到100万，然后持续减少。初潮时，不孕女性所拥有的卵细胞的数量或许只有25万个。从发身期到绝经期，实际从卵巢排出的卵细胞只有300—500个，一般每月1个，从卵巢表面的卵泡中排出。生殖年龄开始时，女人所拥有卵细胞的数量是至关重要的。迄今医学还无法确认任何一个时段卵巢里卵子的数量。因此，不是说，按作者说的每个人的卵细胞都是只有那400多个，排一个少一个，如果能延长月经期才是延缓衰老之举，而实际上非也，只要是正常的月经期就是好的，更何况正常月经期是28-36天，超过36天的难道是老得慢，NO，是相反，是内分泌失调或者卵巢等器官有问题哦。再有，促排卵药物当然是种杀鸡取卵的不好的方式，正常使用是一些不能正常排卵不孕而急于求成的女士，属于无奈之举。作者说一次促排卵药物出6个卵子，这样一辈子的四百多个就少了6个，意思是你会提前6个周期到更年期，只是，实际上促排卵一次排出的卵子应该是二十多个而不只有6个哦。还有没其他问题我不知道，只是作者的方式部分简单，很多挺复杂，个人感觉没多大意义，仅个人阅读后意见，供大家参考。这本书我没有看完，看了三分之一，因为看到错误，所以也没多大兴趣，看了后面的目录和翻了下内容，放书柜里休息去了。附：一、豆浆七忌豆浆是一种老幼皆宜、价廉质优的液态营养品，它所含的铁元素是牛奶的6倍，所含的蛋白质虽不如牛奶高，但在人体内的吸收率可达到85%，因此有人称豆浆为“植物牛奶”。清晨，喝一碗豆浆吃几个小笼包子，这种传统的吃法既方便又营养，可有时候，喝了豆浆肚子疼的事时有发生，甚至与“食物中毒”联系起来。1 忌喝未煮熟的豆浆很多人喜欢买生豆浆回家自己加热，加热时看到泡沫上涌就误以为已经煮沸，其实这是豆浆的有机物质受热膨胀形成气泡造成的上冒现象，并非沸腾，是没有熟的。没有熟的豆浆对人体是有害的。因为豆浆中含有两种有毒物质，会导致蛋白质代谢障碍，并对胃肠道产生刺激，引起中毒症状。预防豆浆中毒的办法就是将豆浆在100℃的高温下煮沸，就可安心饮用了。如果饮用豆浆后出现头痛、呼吸受阻等症状，应立即就医，绝不能延误时机，以防危及生命。2 忌在豆浆里打鸡蛋很多人喜欢在豆浆中打鸡蛋，认为这样更有营养，但这种方法是不科学的，这是因为，鸡蛋中的黏,negative,neutral,neutral,
1.手机待机时间短。 我不知道海尔所谓的超长待机是怎么定义的，作为手机最基本的使用，一般薄电2天左右，厚电也就3天左右，这还是在一般使用的情况下，如果打电话时间比较长，一天就用得差不多了。 而且手机在关机后竟然还在用电。 电池在3－4格电的时候还算能维持些时间，但是到了2格电的时候，电池的续航能力就急剧下降，一般此时打5分钟的电话手机就该关机了。2. 内存真小，用户可用内存只有2M多，我拍照片，拍130万象素的只能拍20张左右，从电脑上下载了铃声，它的每首mp3铃声只能存200k左右，这么小的容量只能唱一句话而已。 最主要的是它不能扩充，真是奇怪的设计。3. 操作复杂。 最下面的导航键盘，每次按的时候都提示退出，还要点击确认，查找多有不便。虽然说查找电话本的方式很多，但是也太不实用了，在找电话的时候，如果用惯了按键的，再用这个触摸屏的真能把人心急。 而且写短信也设计的不合理。 4.浪费钱。 在手机的屏幕上有一个海尔乐园，还不能去掉。不小心按到了的话，它就会拨打12590******的高额收费电话，我有一次不小心按到了，马上挂机，结果一查话费，1.3元已经消费了。真想不通海尔是不是和这些流氓信息台串通一气的啊。 那个gprs功能千万不要用啊，我就只是上了几个简单的网页，一个月就60多元，真是有钱人才用得起啊，不过这和手机没有什么关系。5.送的光盘可以用海尔的数据线，不过针对V8810，它只能将通讯录导入到电脑上，但是无法将短信导入到电脑上，同样的功能为什么不能实现呢？,negative,neutral,neutral,
"大堂整洁,房间干净,设施齐全,位置方便,早餐也还可以,服务也还不错,只是酒店周围环境不怎么样,但是这和整个南昌老城的整体环境有很大关系. 在南昌还算是值得一住的酒店.",positive,neutral,neutral,
外出时一般都会先看看当地的如家。这家店挺不错的。性价比高，服务也足够周到仔细，反应也很快。不过不怎么喜欢他们的制服啦，花花的，很难看。对了，只是离车站不是很近，边上那家超市，食品怀疑过期(面包)，离恐龙园也远，但是门口就有公交站台，还算交通方便。补充点评 2008年1月28日 ： 说错了，是虎丘，哈哈~~,positive,neutral,neutral,
原厂送膜，原厂送膜，原厂送膜，重要的事情说三遍。使用几天了，谈下感受。外观就不说了，见仁见智。性能个人觉得还是比较够用的，王者荣耀之类的，30帧打完全局，平常运行没有卡顿的情况。摄像头一般般，不过作为平板对它要求也没多高。没有闪光灯，没有闪光灯，没有闪光灯!这多多少少是个遗憾。本人买得到屏幕有一个黑点，从以往换机经验而言，平静接受不完美，不折腾了。还有一个问题就是安卓系统的软件对平板基本没有优化，说白了软件仅仅是把平板当作大一点的手机而已，这个是事实，但是好像和华为无关。仅从这里而言，还是买iPad吧。总体而言，个人感觉还好。,positive,neutral,neutral,
早餐还可以，房间一般，不过隔音效果很好，虽然对则一条大马路，但是根本听不到什么嘲音,positive,neutral,neutral,
房间还可以，楼下有食街，服务态度很好！不过网络不太好，总是断线；早餐一般般。,positive,neutral,neutral,
一般般吧，除去邮费的话比在水果摊上便宜，味道还可以，不过还是有水份。,positive,neutral,neutral,
环境还可以，味道有五星酒店的味道，但是设施，服务就一般般了,negative,neutral,neutral,
一般般反正没自己在超市挑的好，不过这只是家人的心意而已,negative,neutral,neutral,
内容还算过的去，不过以文采来说，就一般。说的只是一些大道理不过还是给人些启示的。不过这本书更适合有理想的女孩,negative,neutral,neutral,
机场旁边就是图个搭飞机方便，谈不上什么服务，酒店就是一个快捷酒店，中规中矩，就凑合睡个觉而已。综合来说只能算一般般吧。,negative,neutral,neutral,
如果只是拿来看看视频，漫画什么的还是够用，这价格想玩游戏就要做好卡顿的准备。反正本来就是拿来放多余的电话卡的，所以整体还算满意。,positive,neutral,neutral,
酒店位置比较偏远，但是在机场的2号航站楼27号出口有酒店接送车辆到酒店，还算可以。 酒店的设施环境还可以接受，但是房间的卫生比较一般，可能是比较旧的缘故。 希望可以改善。,negative,neutral,neutral,
酒店不在青岛最中心地段，不过交通还算方便。是一栋栋2-3层的小客房，环境非常好，还有花园，非常安静，是度假的好地方。酒店是什么国资委培训中心，开会的政府人员比较多， 价格也比较实惠(最近青岛开奥运，酒店价格涨了好多)。酒店比较不算新，早餐一般，服务还可以。,positive,neutral,neutral,
还可以，不过买完过几天就降了几十块钱，感觉有点亏，这款这个价格性价比算可以了，只是画质没有期待的那么清晰，有待提高。音质，连接家里的蓝牙音响放出来挺好的，单放就一般，自带的应用市场里有些APP找不到，比如说王者荣耀…，浏览器上搜索也可以下。内存再大点就好了！,positive,neutral,neutral,
轻，薄，待机时间长，散热好，外观设计比较好看，铝合金上面板还是很好看的，键盘手感也可以。而且屏幕不仅很薄，而且还算结实，按背面屏幕没有明显的影响。加到3G内存，运行Vista速度还是一般，不过也有可能是我平时用的机器都太好了。准备装成XP估计就会好很多。 没有具体测试，但是待机时间6，7个小时还是可能的。,positive,neutral,neutral,
第一次用安卓平板，感觉就像个大手机，系统是华为的系统比较易用，刚开机就让升级了最新系统。屏幕比ipad细长，有些不习惯。照相一般，不过pad都这样。音质可以但是音量不大。略微有点厚，外观设计感不如苹果。功能配置还可以，开机剩余大概3G运存，比手机系统占用小。华为WIFI信号没的说，信号很好。外观设计上还有改进空间。,positive,neutral,neutral,
"酒店的大堂不大,看起来不够豪华.但是服务人员都非常的热情.房间比较大,设施一般但是还算干净.第一次入住该酒店,到大堂询问附近的餐厅,大堂副理居然是非常年轻的漂亮小姐,笑容让人很舒心,好意的提醒我们原本想去的得月楼只不过名声在外,不实惠味道也一般,并且热情的介绍了边上的天竺酒楼,去是过以后果然如她所言实惠又好吃.吃完饭过后到附近逛了才发现地理位置非常好,逛街非常方便.顺便提一下,酒店内部有一个沐足的地方,房客用抵用券可以打折扣,按摩的手法非常的专业.第二天走的时候门口没有出租车,行李生冒着大雨出去叫车,还是非常的让人感动的.补充点评 2008年1月20日 ： 软件达到五星标准，硬件打个３.５星吧，应该改造了，呵呵．下次还来",positive,neutral,neutral,
订的是商务豪华标准间（带阳台），因为是10/1到的，比较贵，620元，到了后，店家主动给调高乐标准，给的是单床商务套间，2个房间很大，床铺干净舒服，有沙发，还有2个液晶电视，浴室也很大，有个大按摩浴缸，水也很热，上网也很快。总之，黄金周期间，这个配置，性价比还是比较高的。位置比较稍偏点，但是自驾的话，不是问题。门口有条溪水，晚上枕着溪流声入睡，凉爽。总之，虽然整体是2-3星的样子，但是套间的配置还是比较高的。如果平时去，价格没那么高，应该不错。补充点评 2007年10月7日 ： 对了，还可以免费打长途。便于定下一个浏览点的酒店。不过，不嫌麻烦的话，以后有人自驾去庐山，可以到那里后，自己开车找宾馆，进行比较，也很方便的，因为各种档次的宾馆很多的。如果不是自驾的话，还是通过ctrip订房吧。,positive,neutral,neutral,
酒店就在海水浴场旁边，出门到接触到海水两分钟，如果要和海水亲近的朋友，极力推荐。这样游泳换衣服啥的就很方便了。山景房是朝马路的一边，便宜点，海景房是可以看到海的。房间很大。40个平方左右。条件不错。没有叫服务员弄一些端吃的上来之类的事情。反正登记和结账的时候态度还不错。我要求不高，可以看电视上网就好。一楼还有台球桌。本来说不要钱可以玩得，还是要了我们30块，出来玩也不想弄不开心，给他们了。到市区就打车好了，威海的taxi很便宜，从这里到市区最多17块钱。旁边的沙滩真不错，免费，金黄色的沙滩，碧绿的海水，很好。有一点有点遗憾，就是第一天去的时候洗澡的热水有点问题，黄黄的，不知道是锈迹还是什么。不过第二天就好了。补充点评 2007年10月6日 ： 看了下面朋友们的推荐，补充一下，确实离4星级有差距，我也没有看到前台那有4星的评定级别，只是从他们的自我介绍中说是按照4星级配置。服务员素质一般，没有那种很主动和热情的态度。另外还有一件事情，不让把浴巾等带到浴场，去游泳的朋友还是得自己准备浴巾。我准备很不充分，打赤脚去游泳，经过大厅的时候有个穿制服的服务员模样的人跟我说不让打赤脚进大厅，我说你们又不让把房间的鞋子(其实也就是一次次性的鞋拖)穿出去，也不给配备双沙滩拖鞋，我出来住酒店总不能自己带双拖鞋来吧，那人才闭嘴。所以建议酒店放两双沙滩拖鞋在房间，花不了几个钱但是非常实用。鉴于我对酒店总体要求不高，总的评价偏高，希望对别的朋友有用！,positive,neutral,neutral,
