content,label
这个手机很好用，拍照清晰，续航给力！,positive
屏幕显示效果非常棒，色彩鲜艳,positive
性价比超高，值得购买,positive
物流很快，包装完好，满意,positive
用了一周，感觉非常流畅,positive
外观漂亮，手感很好,positive
音质不错，听歌很享受,positive
系统流畅，没有卡顿,positive
充电速度快，续航时间长,positive
客服态度很好，解答及时,positive
屏幕显示效果不错，但是有点卡顿,neutral
还可以吧，没有特别惊艳,neutral
一般般，符合这个价位,neutral
质量还行，没有想象中好,neutral
用着还可以，没什么大问题,neutral
中规中矩，没有亮点,neutral
价格合理，性能一般,neutral
外观设计普通，没有特色,neutral
功能够用，但不算出色,neutral
整体感觉还行，凑合用,neutral
电池续航太差了，用一天就没电,negative
发热严重，玩游戏很烫手,negative
屏幕容易碎，质量不行,negative
卡顿严重，运行很慢,negative
拍照效果差，不清晰,negative
做工粗糙，有瑕疵,negative
系统bug多，经常死机,negative
物流太慢，等了很久,negative
客服态度差，不解决问题,negative
性价比低，不值这个价,negative
