content,label,suggested_label,reviewed_label,notes
环境：酒店环境尚可，周边环境一般，要到大宁国际那边才有不错的商店和饭店。和携程上说的一样，部分楼层在装修，所以下午5点前可能无法休息，好在我白天都不在，受到的影响不大。服务：服务一般，没有四星的水准。在前台都是我提问，也没有获得应有的招呼，进酒店的时候服务生也没有帮忙开门以及拉一下行李。房间：预订的是大床房，但是床只是普通的5尺床，不过好在也够了。房间布局很雅致，热水、空调，房间隔音都很好。这也是我满意的地方。其他：早餐还可以，二楼有个泰国鱼翅馆，看看价格还比较公道，不过没有吃。房间里有宽带，但是路由器上没有电源。也就没有问前台要了。总之，比较中规中矩。周围也没有更好的酒店了(大宁国际的福朋除外)。500-/日，还是可以接受的,positive,neutral,,
"大堂整洁,房间干净,设施齐全,位置方便,早餐也还可以,服务也还不错,只是酒店周围环境不怎么样,但是这和整个南昌老城的整体环境有很大关系. 在南昌还算是值得一住的酒店.",positive,neutral,,
外出时一般都会先看看当地的如家。这家店挺不错的。性价比高，服务也足够周到仔细，反应也很快。不过不怎么喜欢他们的制服啦，花花的，很难看。对了，只是离车站不是很近，边上那家超市，食品怀疑过期(面包)，离恐龙园也远，但是门口就有公交站台，还算交通方便。补充点评 2008年1月28日 ： 说错了，是虎丘，哈哈~~,positive,neutral,,
原厂送膜，原厂送膜，原厂送膜，重要的事情说三遍。使用几天了，谈下感受。外观就不说了，见仁见智。性能个人觉得还是比较够用的，王者荣耀之类的，30帧打完全局，平常运行没有卡顿的情况。摄像头一般般，不过作为平板对它要求也没多高。没有闪光灯，没有闪光灯，没有闪光灯!这多多少少是个遗憾。本人买得到屏幕有一个黑点，从以往换机经验而言，平静接受不完美，不折腾了。还有一个问题就是安卓系统的软件对平板基本没有优化，说白了软件仅仅是把平板当作大一点的手机而已，这个是事实，但是好像和华为无关。仅从这里而言，还是买iPad吧。总体而言，个人感觉还好。,positive,neutral,,
早餐还可以，房间一般，不过隔音效果很好，虽然对则一条大马路，但是根本听不到什么嘲音,positive,neutral,,
房间还可以，楼下有食街，服务态度很好！不过网络不太好，总是断线；早餐一般般。,positive,neutral,,
一般般吧，除去邮费的话比在水果摊上便宜，味道还可以，不过还是有水份。,positive,neutral,,
环境还可以，味道有五星酒店的味道，但是设施，服务就一般般了,negative,neutral,,
一般般反正没自己在超市挑的好，不过这只是家人的心意而已,negative,neutral,,
内容还算过的去，不过以文采来说，就一般。说的只是一些大道理不过还是给人些启示的。不过这本书更适合有理想的女孩,negative,neutral,,
机场旁边就是图个搭飞机方便，谈不上什么服务，酒店就是一个快捷酒店，中规中矩，就凑合睡个觉而已。综合来说只能算一般般吧。,negative,neutral,,
如果只是拿来看看视频，漫画什么的还是够用，这价格想玩游戏就要做好卡顿的准备。反正本来就是拿来放多余的电话卡的，所以整体还算满意。,positive,neutral,,
酒店位置比较偏远，但是在机场的2号航站楼27号出口有酒店接送车辆到酒店，还算可以。 酒店的设施环境还可以接受，但是房间的卫生比较一般，可能是比较旧的缘故。 希望可以改善。,negative,neutral,,
酒店不在青岛最中心地段，不过交通还算方便。是一栋栋2-3层的小客房，环境非常好，还有花园，非常安静，是度假的好地方。酒店是什么国资委培训中心，开会的政府人员比较多， 价格也比较实惠(最近青岛开奥运，酒店价格涨了好多)。酒店比较不算新，早餐一般，服务还可以。,positive,neutral,,
还可以，不过买完过几天就降了几十块钱，感觉有点亏，这款这个价格性价比算可以了，只是画质没有期待的那么清晰，有待提高。音质，连接家里的蓝牙音响放出来挺好的，单放就一般，自带的应用市场里有些APP找不到，比如说王者荣耀…，浏览器上搜索也可以下。内存再大点就好了！,positive,neutral,,
轻，薄，待机时间长，散热好，外观设计比较好看，铝合金上面板还是很好看的，键盘手感也可以。而且屏幕不仅很薄，而且还算结实，按背面屏幕没有明显的影响。加到3G内存，运行Vista速度还是一般，不过也有可能是我平时用的机器都太好了。准备装成XP估计就会好很多。 没有具体测试，但是待机时间6，7个小时还是可能的。,positive,neutral,,
第一次用安卓平板，感觉就像个大手机，系统是华为的系统比较易用，刚开机就让升级了最新系统。屏幕比ipad细长，有些不习惯。照相一般，不过pad都这样。音质可以但是音量不大。略微有点厚，外观设计感不如苹果。功能配置还可以，开机剩余大概3G运存，比手机系统占用小。华为WIFI信号没的说，信号很好。外观设计上还有改进空间。,positive,neutral,,
"酒店的大堂不大,看起来不够豪华.但是服务人员都非常的热情.房间比较大,设施一般但是还算干净.第一次入住该酒店,到大堂询问附近的餐厅,大堂副理居然是非常年轻的漂亮小姐,笑容让人很舒心,好意的提醒我们原本想去的得月楼只不过名声在外,不实惠味道也一般,并且热情的介绍了边上的天竺酒楼,去是过以后果然如她所言实惠又好吃.吃完饭过后到附近逛了才发现地理位置非常好,逛街非常方便.顺便提一下,酒店内部有一个沐足的地方,房客用抵用券可以打折扣,按摩的手法非常的专业.第二天走的时候门口没有出租车,行李生冒着大雨出去叫车,还是非常的让人感动的.补充点评 2008年1月20日 ： 软件达到五星标准，硬件打个３.５星吧，应该改造了，呵呵．下次还来",positive,neutral,,
