content,label
包装盒破损，且包装盒并非图片所示的节日限定，存在误导消费者的行为。,neutral
给媳妇买来在单位泡水喝的，一罐100克，比较占份量，倒在罐子里只有四分之一左右，颗粒大小相差有些大，里面还有不少碎掉的，介意的慎拍。,neutral
搞的什么鬼？！里面的羊肚菌这么袖珍！没这个实力就不要开这店！,neutral
是粉扑的问题么，拍不上皮肤，不服帖,neutral
此类不属于茶吧？做得和雀巢咖啡一样。但又不溶于开水。想喝出茶味，又没味道。真不如直接当药，倒入口里，再喝点温水送服。,neutral
没有想象的好，当归皮多，还有没切开的细棍，没有买运费险，就下退了，不会回购,neutral
品质一般，小细根,neutral
最多也是中果、大果我在宁夏买过！,neutral
不是说吃完容易睡觉吗？我怎么感觉不到很困？,neutral
用了几年的这个牌子，都有感情了。,neutral
有的还可以，有的一般。陈皮是普通的，不是晒得乌黑那种,neutral
不是我脸大。就是这个有点小。。。。。,neutral
还没有食用、不知道怎么样？回来在追评,neutral
感觉用上凉凉的，但是眼睛有点熏的,neutral
物流迅速，百雀羚搞活动时买的，效果一般,neutral
效果一般，没有想象中的那样好，不值这个价钱。,neutral
好酸🤪坏了我一锅汤,neutral
昨晚被蚊子咬了，就檫了结果更痒了呢,neutral
没见去痘效果，心碎了,neutral
称了一下只有28.5g,neutral
一般，就是便宜，以后不会买这个牌子的东西了,neutral
早上下单，下午收到了，刚开始打开试用，挺水润的，不知道有没有什么效果，一点点香味，用过一段时间再评价吧，看其他电商有类似的产品，只有个别字不同，不知道是雷同还是啥的，价格也是相差很多，难识别真假,neutral
一般般，没有什么特别的，做为社会低层的我能忍受,neutral
一般，比我买的别家的苦,neutral
跟卖家图片还是严重不一样的，一坨一坨的,neutral
"1）  收到的八角大料与广告实图不符, 產地注明广西而经销商在深圳又从河北发货.
2） 缺斤少两, 包装罐外注明250克. 但加上塑胶罐才只有252克. 希望经销商以信誉为重, 在注明産地的同時应清楚包括分销路径. 保证足斤足称.",neutral
实拍图，看好了再决定下不下单！,neutral
太一般了，还不如买甘草片泡茶喝！！！一点点效果都没有！,neutral
没用呢不知道，但是原价139有赠爽肤水，秒杀109，图片啥都没改，到货之后发现没有爽肤水了,neutral
太子参具有益气健脾，生津润肺的功效。多煎汁服用，也可煮水、煮粥或煲汤用。但无论采用哪种方式，都需要按照医生的嘱咐服用。 这款除了个头小以外，其他都好,neutral
百雀羚是个老牌子，小时候就用，感觉美的不得了，所以现在买起来是情怀，用起来也是情怀，首先要赞一下送货速度，很快。不过拿到手后，用起来很干，很涩，没有以前的那种感觉啦，现在用做护手霜吧。,neutral
喝了一段时间，没明显效果,neutral
包装可以，还没有拆封，摸起来挺大粒的,neutral
骗人的东西，用了没点作用,neutral
味道不一样，字体不一样,neutral
不是很大，有点小,neutral
再次购买，这次为什么没有赠品呀？,neutral
东西到了还没喝，不知道怎哦样，但是挺期待的，会追评,neutral
有点少，并且效果也不好，后悔了,neutral
就不知道，罐子里面哪里来的那么多毛，第一天看到，忍住，第二天看到，继续忍，第三天又看到，直接扔掉，,neutral
感觉跟之前另一款效果不太一样，那款吃了两包感觉撞伤的地方没那么痛了。这款吃了几天没见效果。,neutral
我滴乖，枸杞未成年就出来接客了？好小啊😫&hellip;&hellip;  严重与图片不符啊&hellip;&hellip;,neutral
挺水润的不知道效果怎么样,neutral
感觉不如第一次购的好，包装不一样。,neutral
黄芪都是小粒的，品质一般,neutral
应该不错吧，便宜一点比超市就一点点啊！主要是为了凑字数要豆豆,neutral
泡出来是淡绿色的，没喝出来赤小豆和薏米的味道，感觉是蒲公英味道，当茶叶随便喝喝吧，应该不会回购了。,neutral
白色的补水挺好，特别保湿，黑色的不好，膜特别厚而且嘴的部分开口特别大,neutral
"包装：袋子包装。
香味：感觉像槐花的味道，和买的第一道飘雪的味道差了很多。
汤色：配合着绿茶一起泡的，没有单独泡。
叶底：不清楚情况。
口感：有点生涩，像槐花的味道。
耐泡度：不清楚。",neutral
包装盒子里没有装防撞的东西填充，导致会有碎的，客服来句碎了也能吃&hellip;&hellip;那碎的价格能和不碎的一样的吗？大片的比小片的价格贵了不少吧～当人傻子呢，差评,neutral
冲雷允上三个字购买的，实际上是诸暨一个小厂的贴牌货，购买页面无产地（标国产），无生产商,neutral
在网上查了下，说这种很白又没有纹理的是硫磺熏过的山药,neutral
"太脏了，不像厂家的，倒像自己装的
不敢喝了",neutral
太差了，有些没有,neutral
只能说一分钱一分货！有点后悔了！,neutral
如我图片所示，药材色泽比较差，有碎末，药材不完整，有点失望,neutral
用过了 还可以吧 补水效果还可以,neutral
假的，再也不买了。除了有股子木头味，啥都没有。,neutral
只有铁皮，里面没有胶质，名不符实，不值这个价,neutral
一分钱一分货，自己配会好很多。,neutral
品质跟价格不匹配，质量太差,neutral
泡开的茶叶像树叶，跟宣传图片完全不相符。,neutral
药看起来蛮新鲜的，唯一不足的就是目前里面吃的一只虫子，感觉好#,neutral
东西也就一般般了，性价比不高,neutral
味道好刺激&hellip;&hellip;味这么大我都不敢往脸上抹。,neutral
和药店买的不一样，这个甘草片写的是压片糖果，怪不得感觉没啥用,neutral
跟上次买的不一样 然后拆开心血来潮数了一下 发现少了两片就48片,neutral
收到的与广告的商品不一致产地也不同。,neutral
不太行，有泥巴，灰尘，有的没有发芽，外包装也黑黑的，请卖家改进,neutral
煮出来的杂质比较多，感觉一般,neutral
没有第一次买的好，这次的还贵了,neutral
不知道为什么喝了口感，可能喝完有点上火，没喝了,neutral
第一次买的这个枸杞，看到了这款杞里香，一下就买了2份，感觉能吃好一阵，这个有点小，感觉也很干净，下次换大的买，还送了赠品，,neutral
花不咋好，有坏的,neutral
小贵，性价比一般，东西嘛，喝了几次没啥效果,neutral
黄豆粒大小，太小了，我可能买了个假的。,neutral
感觉有点不禁泡，充一回两回就拉倒了,neutral
不好用，没有上面说的效果，一点不保湿太干了,neutral
包装已被人开封了，还好防晒乳的封口是完好的，,neutral
好小的黄芪，跟图片没法比,neutral
京东自营发货很快，已经收到货了，价格可以。但是商品和描述的有差距，叶子根本没有那么绿，实物是偏发黄的，跟铁观音的颜色很像。以前买过其他品牌的，那个就非常鲜绿，不知道是怎么回事。,neutral
有断支的，大小不一样,neutral
不好喝，一分钱一分货吧,neutral
太一般了，有很多碎的，还有点黑,neutral
有点#啊！第二次购买了，竟然有一根是残的。这样以次充好就不厚道了。,neutral
，这个面膜价格变动得太快了吧，但是面膜确实好用,neutral
第三次购买，东西还不错，刚刚买没多久但是看到有送又买了，上面也没备注说送完截止，最后没有正品，说送完了,neutral
扫码查无信息，大家买时请认准,neutral
个头比较小，主要是青海产的。活动价不到五百，相对性价比高一些。,neutral
用铁皮石斛泡水味道不大，用养生壶煮水略有些味道。可能是人工种植的。,neutral
没有玫瑰的味道，一股子火烧火燎的味道，很奇怪,neutral
还行吧，用了两次，没啥特别感觉，香味很清淡，老牌子了，听说蛮好的，所以试试。。,neutral
瓶子盖子真是差劲,neutral
不知道为啥擦上去火烧一样,neutral
实话说我想要的是菊花多的，可是拆开发现是决明子多，两小朵花，所以感觉不是我想要的,neutral
贵贵贵是不是我是真的好好笑哈哈,neutral
没有啥作用 喝了一月 例假来了 还跟之前一样,neutral
像塑料泡沫，也可能是我没见识。,neutral
标识500克来货连袋子477克。,neutral
这次包装的质量很差很小，,neutral
同时下单，同一商家这三瓶为什么一周后才送到，而且纸盒包装有差异，会是高仿的吗？,neutral
看着不错，但对比以前喝的，味道很差，泡在开水里喝，有点沉朽味。不愉快的购物体检。,neutral
遮瑕度比较弱，20G很小一只，迷你，不会回购了。,neutral
比想象中差了些，以后不会买这个品牌了。有些失望。,neutral
刚吃完一盒，没啥感觉，冲出来的时候一粒粒的，不知道什么情况，是不是质量问题，怎么那么难散开，铁棍山药加益生菌，什么原因啊？,neutral
快递员真的很热情而且配送的很快~官方旗舰店购买直接送小样没想到在京东上还限制小样数量不理解都是旗舰店还能这样,neutral
分量足不足不知道，但是嚼了两片没啥味道！！！,neutral
商品并不像描述的功效那般神奇，还要理性消费，支持国货！,neutral
非常小一瓶，性价比不高,neutral
配方应该是灸甘草，为什么用甘草？两个功效是不一样的。,neutral
"味道还是可以，包装也是挺精致的，就是泡的时候会有**沉底。
希望以后能做的更加干净，不要有这种**沉底那就更加的完美了。",neutral
茯苓好差，泡不熟，不粉,neutral
没有在药店里买的香，人家冲泡我直接安嘴里嚼着吃后喝杯水，但在网上买的没有那种香味，不一样不一样啊，看着差不多,neutral
不小心弄破一包，里面都睡碎**，心都碎了,neutral
参片大小不一，小的特别小，形状难看，还有碎的。。。。。。,neutral
有点油，感觉效果一般,neutral
感觉补水一般，不知是不是三十多岁不适合用这种,neutral
包装每次都不一样,neutral
药材外观还算干净，但是清洗6遍后，用开水泡还是有很多泡沫，好像有洗洁精残留一样。问了客服，对方说干药材吸水后会有泡沫，说正常，可我不敢喝了。,neutral
一般般，用了没有想象的那么好,neutral
里面感觉是比较干的，泡水还可以吧。,neutral
看不明白，上面说送赠品，没见赠品。文化低，就是不懂，没别的购物软件通透。,neutral
男朋友说一股化学的味道,neutral
冬天用感覺就一般了，感覺好稀,neutral
我的干性皮肤，感觉还是有点油，味道不好闻。,neutral
产地居然是甘肃，号称长白山人参,neutral
敷了早上起来还有一层胶样,neutral
东西是真是假不知道，但是感觉都是皮，可能是我无知，但是感觉东西不怎么样,neutral
老公没穿几天，就会进水不好,neutral
个人觉得补水不是很好,neutral
感觉很一般，价格高了，味道不怎么样,neutral
买过好几盒了，都是搞活动的时候购买，划算,neutral
